(1) Facilities (40), Count
AGLT2,298
AMNH,41
BNL ATLAS Tier1,1398
Bellarmine University,32
Boston University ATLAS Tier2,157
Brookhaven Belle-II Tier1,67
CCMINNE,26
CHPC,12
Caltech CMS Tier2,949
FNAL USCMS Tier1,421
FZU,126
FermiGrid,42
GLOW,370
IU UITS,1
LSU SuperMIC,32
LUCCRE,148
MIT CMS,371
MIT_SUBMIT,19
MWT2 ATLAS UC,1523
N/A,120
Nebraska-CMS,2166
Nebraska-Omaha,41
New Mexico State Discovery,71
OSG-Rice,121
OU ATLAS,1318
OU HEP,34
Purdue CMS,532
SLAC,63
SPRACE,206
SU ITS,812
SUGWG,186
SWT2 ATLAS UTA,198
T2_BR_UERJ,66
UCSD CMS Tier2,824
UColorado_HEP,273
UF HPC,325
UMD-CMS,85
UMD_SIAB,50
UPRM_HEP,190
University of South Florida,35

(3) Facilities + (149), Count
AGLT2,567
AMNH,51
ASU Research Computing,179
BEIJING-LCG2,228
BEgrid-ULB-VUB,2109
BNL ATLAS Tier1,611
BNL-SDCC,64
BUDAPEST,370
Baylor University,385
BelGrid-UCL,1742
Bellarmine University,243
Bridges,93
CCMINNE,37
CERN-PROD,1941
CHPC,283
CHTC,90
CIEMAT-LCG2,2028
CMSHTPC_T2_US_UMD_SIAB,5
CSCS-LCG2,254
Caltech CMS Tier2,2613
Clemson IT,493
Comet,59
DESY,549
DESY-HH,1624
DESY-ZN,367
FIU HPC,25
FI_HIP_T2,209
FNAL USCMS Tier1,3848
FZK-LCG2,2289
FZU,177
FermiGrid,5254
GLOW,3276
GLUEX_US_FSU_HNPGRID,354
GR-07-UOI-HEPLAB,187
GRIF,2257
GZK,11
Georgia Tech,6
Hephy-Vienna,319
ICM,113
IFCA-LCG2,319
IIT - Illinois Institute of Technology,779
IN2P3-CC,2137
IN2P3-CC-T2,1941
IN2P3-IPNL,235
IN2P3-IRES,2022
INDIACMS-TIFR,203
INFN-BARI,2443
INFN-LNL-2,2552
INFN-PISA,2299
INFN-ROMA1-CMS,242
INFN-T1,2974
INFN-TRIESTE,205
ITEP,230
Illume,212
Information Sciences Institute,368
JINR-LCG2,950
JINR-T1,2815
KR-KISTI-GSDC-02,42
KR-KNU-T3,210
Kharkov-KIPT-LCG2,322
LIGO-CIT-CE,48
LIGO-WA-CE,38
LIGO_US_LSU_QB2,2
LIGO_US_LSU_SuperMIC,61
MIT CMS,2701
MWT2 ATLAS UC,1424
Marquette,312
N/A,256
NBI,157
NCBJ-CIS,1243
NCG-INGRID-PT,426
NCP-LCG2,181
NERSC,48
NIKHEF-ELPROD,217
NWICG_NDCMS,1166
Nebraska-CMS,3664
Nebraska-Omaha,167
New Mexico State Discovery,398
OSC,6
OSG-Rice,186
OSG_US_GSU_ACORE,95
OSG_US_WSU_GRID_ce2,73
PSC,63
Purdue CMS,4308
RAL-LCG2,3052
RU-Protvino-IHEP,240
RWTH-Aachen,2120
Ru-Troitsk-INR-LCG2,128
SDSC-PRP,383
SPRACE,947
SU ITS,2299
SUBMIT.MIT.EDU,1
SURFsara,45
T2B_BE_IIHE,268
T2_BR_UERJ,35
T2_CH_CERN_HLT,1592
T2_Estonia,52
T3_IN_TIFRCloud,145
T3_IT_Opportunistic,11
T3_US_HEPCloud_AWS,4
T3_US_HEPCloud_Google,3
T3_US_NERSC,2280
T3_US_PSC,785
T3_US_TACC,586
TACC,36
TR-03-METU,168
TUM,21
TW-NCHC,543
TW-NTU-HEP,208
UCI,11
UCSD,14
UCSD CMS Tier2,3214
UCSD_GlideinWMS,78
UColorado_HEP,2391
UConn-OSG,355
UF HPC,1826
UKI-LT2-Brunel,1654
UKI-LT2-IC-HEP,1723
UKI-LT2-QMUL,76
UKI-LT2-RHUL,140
UKI-NORTHGRID-LANCS-HEP,70
UKI-NORTHGRID-LIV-HEP,111
UKI-NORTHGRID-MAN-HEP,191
UKI-NORTHGRID-SHEF-HEP,16
UKI-SCOTGRID-ECDF,43
UKI-SCOTGRID-GLASGOW,73
UKI-SOUTHGRID-BRIS-HEP,1405
UKI-SOUTHGRID-OX-HEP,406
UKI-SOUTHGRID-RALPP,2612
UMD,316
UMD-CMS,199
UMD_SIAB,320
UMissHEP,259
UPRM_HEP,517
University of South Florida,110
Vanderbilt ACCRE,2629
WIPAC,353
aachen,9
amundsen.grid.uchicago.edu,17
bigmem-worker-1.grid.uchicago.edu,4
cinvestav,503
csiu.grid.iu.edu,33
osgconnect,57
pic,2488
rutgers-cms,199
scott.grid.uchicago.edu,8
stash-worker-el7-1.grid.uchicago.edu,2
stash-worker-el7-2.grid.uchicago.edu,4
xd-login.opensciencegrid.org,2
