(1) Facilities (40),Core Hours (34729684 total)
AGLT2,1781894
AMNH,42848
BNL ATLAS Tier1,5220891
Bellarmine University,274995
Boston University ATLAS Tier2,1223661
Brookhaven Belle-II Tier1,785326
CCMINNE,13220
CHPC,816
Caltech CMS Tier2,211583
FNAL USCMS Tier1,2234965
FZU,242660
FermiGrid,13215
GLOW,1266287
IU UITS,6782
LSU SuperMIC,1250
LUCCRE,52515
MIT CMS,1122465
MIT_SUBMIT,60575
MWT2 ATLAS UC,6850842
N/A,100041
Nebraska-CMS,284872
Nebraska-Omaha,19930
New Mexico State Discovery,86164
OSG-Rice,12175
OU ATLAS,1801771
OU HEP,51
Purdue CMS,442476
SLAC,334059
SPRACE,210362
SU ITS,6361426
SUGWG,48428
SWT2 ATLAS UTA,1796906
T2_BR_UERJ,18740
UCSD CMS Tier2,729751
UColorado_HEP,155969
UF HPC,682261
UMD-CMS,23479
UMD_SIAB,23875
UPRM_HEP,53811
University of South Florida,136326

(3) Facilities + (99),Core Hours (29645789 total)
BEIJING-LCG2,71766
BEgrid-ULB-VUB,599791
BUDAPEST,87069
BelGrid-UCL,115824
Bridges,18253
CERN-PROD,4423238
CIEMAT-LCG2,477892
CMSHTPC_T2_US_UMD_SIAB,1259
CSCS-LCG2,78192
Comet,12092
DESY,651774
DESY-HH,577774
DESY-ZN,759335
FI_HIP_T2,13155
FZK-LCG2,1157826
GLUEX_US_FSU_HNPGRID,32109
GR-07-UOI-HEPLAB,11127
GRIF,755227
GZK,1361
Hephy-Vienna,55496
ICM,25677
IFCA-LCG2,67025
IN2P3-CC,904400
IN2P3-CC-T2,440289
IN2P3-IPNL,22458
IN2P3-IRES,280906
INDIACMS-TIFR,5441
INFN-BARI,600836
INFN-LNL-2,784053
INFN-PISA,485880
INFN-ROMA1-CMS,117913
INFN-TRIESTE,28557
ITEP,30370
Illume,130947
JINR-LCG2,146351
JINR-T1,1758023
KR-KISTI-GSDC-02,80923
KR-KNU-T3,53209
Kharkov-KIPT-LCG2,49335
LIGO-CIT-CE,3924
LIGO-WA-CE,4079
LIGO_US_LSU_QB2,0
LIGO_US_LSU_SuperMIC,7325
Marquette,33270
N/A,6340
NCBJ-CIS,101817
NCG-INGRID-PT,117509
NCP-LCG2,10347
NIKHEF-ELPROD,507844
PSC,1130044
RAL-LCG2,1850563
RU-Protvino-IHEP,37921
RWTH-Aachen,742015
Ru-Troitsk-INR-LCG2,8627
SDSC-PRP,243850
SUBMIT.MIT.EDU,0
SURFsara,343
T2B_BE_IIHE,564321
T2_CH_CERN_HLT,4152802
T2_Estonia,43534
T3_IN_TIFRCloud,11179
T3_IT_Opportunistic,984
T3_US_HEPCloud_AWS,174
T3_US_HEPCloud_Google,32
T3_US_NERSC,276852
T3_US_PSC,42949
T3_US_TACC,11980
TACC,1217157
TR-03-METU,8254
TUM,3654
TW-NCHC,96725
TW-NTU-HEP,18538
UCI,1087
UCSD,323
UCSD_GlideinWMS,3316
UKI-LT2-Brunel,362808
UKI-LT2-IC-HEP,524069
UKI-LT2-QMUL,8768
UKI-LT2-RHUL,4900
UKI-NORTHGRID-LANCS-HEP,14423
UKI-NORTHGRID-LIV-HEP,85047
UKI-NORTHGRID-MAN-HEP,367937
UKI-NORTHGRID-SHEF-HEP,456
UKI-SCOTGRID-ECDF,93365
UKI-SCOTGRID-GLASGOW,5699
UKI-SOUTHGRID-BRIS-HEP,67229
UKI-SOUTHGRID-OX-HEP,113114
UKI-SOUTHGRID-RALPP,281375
UMD,68011
aachen,148
amundsen.grid.uchicago.edu,23
bigmem-worker-1.grid.uchicago.edu,1243
csiu.grid.iu.edu,303
osgconnect,82254
pic,391604
scott.grid.uchicago.edu,5
stash-worker-el7-1.grid.uchicago.edu,1
stash-worker-el7-2.grid.uchicago.edu,126
xd-login.opensciencegrid.org,1
