Facility (Host_description), Count
AGLT2,2040
AMNH,140
ASU Research Computing,626
BEIJING-LCG2,1010
BEgrid-ULB-VUB,5143
BNL-SDCC,191
BUDAPEST,1129
Baylor University,1053
BelGrid-UCL,4102
Bellarmine University,740
Bridges,550
Brookhaven ATLAS Tier1,1265
CCHDV,63
CCMINNE,124
CCRnD,61
CERN-PROD,4505
CHPC,647
CHTC,473
CIEMAT-LCG2,4667
CMSHTPC_T2_US_UMD_SIAB,5
CSCS-LCG2,823
Caltech CMS Tier2,7050
Cedar,17
Clemson IT,926
Comet,163
DESY,1635
DESY-HH,3818
DESY-ZN,1029
FIU HPC,293
FI_HIP_T2,598
FNAL USCMS Tier1,8506
FZK-LCG2,5035
FZU,557
FermiGrid,15909
GLOW,9097
GLUEX_US_FSU_HNPGRID,768
GR-07-UOI-HEPLAB,506
GRIF,5063
GZK,154
Georgia Tech,77
Glow_US_Syracuse_condor-ce3_rhel6,2
Hephy-Vienna,982
ICM,538
IFCA-LCG2,1018
IIT - Illinois Institute of Technology,2896
IN2P3-CC,4437
IN2P3-CC-T2,4133
IN2P3-IPNL,692
IN2P3-IRES,4330
INDIACMS-TIFR,879
INFN-BARI,5131
INFN-LNL-2,5726
INFN-PISA,4815
INFN-ROMA1-CMS,250
INFN-T1,6095
INFN-TRIESTE,736
ITEP,671
Illume,647
Information Sciences Institute,991
JINR-LCG2,2729
JINR-T1,6532
JINR_Cloud,94
JINR_NOVA_CE1,63
JINR_NOVA_CE2,60
KR-KISTI-GSDC-02,200
KR-KNU-T3,714
Kharkov-KIPT-LCG2,1194
LIDO_Dortmund,391
LIGO-CIT-CE,104
LIGO-WA-CE,85
LIGO_US_LSU_QB2,2
LIGO_US_LSU_SuperMIC,127
MIT CMS,6593
MSU,71
MWT2 ATLAS UC,9270
Marquette,828
N/A,943
NBI,286
NCBJ-CIS,2725
NCG-INGRID-PT,1290
NCP-LCG2,851
NERSC,445
NIKHEF-ELPROD,465
NWICG_NDCMS,5225
Nebraska-CMS,10167
Nebraska-Omaha,1279
New Mexico State AggieGrid,38
New Mexico State Discovery,614
OSC,9
OSG-Rice,399
OSG_US_GSU_ACORE,438
OSG_US_WSU_GRID_ce2,152
PSC,162
PSC Bridges,226
PSC-Bridges,19
PSC_Bridges,10
Purdue CMS,11288
RAL-LCG2,6312
RU-Protvino-IHEP,458
RWTH-Aachen,4388
Ru-Troitsk-INR-LCG2,484
SDSC,6
SDSC Comet,1164
SDSC-PRP,535
SDSCCompInfrastructure,12
SDSC_Comet,25
SPRACE,2677
SU ITS,9011
SUBMIT.MIT.EDU,5
SURFsara,180
SWT2 ATLAS UTA,15
T2B_BE_IIHE,534
T2_BR_UERJ,35
T2_CH_CERN_HLT,5068
T2_Estonia,310
T3_IN_TIFRCloud,524
T3_IT_Opportunistic,11
T3_UK_Opportunistic,78
T3_US_HEPCloud,4
T3_US_HEPCloud_AWS,31
T3_US_HEPCloud_Google,26
T3_US_NERSC,4823
T3_US_PSC,1437
T3_US_TACC,1265
TACC,117
TR-03-METU,494
TUM,21
TW-NCHC,1644
TW-NCUHEP,70
TW-NTU-HEP,632
UCI,48
UCSD,27
UCSD CMS Tier2,8233
UCSD_GlideinWMS,251
UColorado_HEP,6640
UConn-OSG,1353
UF HPC,4629
UKI-LT2-Brunel,4031
UKI-LT2-IC-HEP,3998
UKI-LT2-QMUL,276
UKI-LT2-RHUL,474
UKI-NORTHGRID-LANCS-HEP,70
UKI-NORTHGRID-LIV-HEP,273
UKI-NORTHGRID-MAN-HEP,580
UKI-NORTHGRID-SHEF-HEP,40
UKI-SCOTGRID-ECDF,86
UKI-SCOTGRID-GLASGOW,258
UKI-SOUTHGRID-BRIS-HEP,3157
UKI-SOUTHGRID-OX-HEP,1111
UKI-SOUTHGRID-RALPP,6333
UMD,1332
UMD-CMS,429
UMD_SIAB,374
UMissHEP,547
UPRM_HEP,1553
University of South Florida,306
Vanderbilt ACCRE,7089
WEIZMANN-LCG2,28
WIPAC,1072
aachen,220
amundsen.grid.uchicago.edu,56
bigmem-worker-1.grid.uchicago.edu,4
c251-102.wrangler.tacc.utexas.edu,5
c251-103.wrangler.tacc.utexas.edu,5
c251-104.wrangler.tacc.utexas.edu,5
c251-105.wrangler.tacc.utexas.edu,6
c251-106.wrangler.tacc.utexas.edu,5
c251-107.wrangler.tacc.utexas.edu,6
c251-108.wrangler.tacc.utexas.edu,5
c251-109.wrangler.tacc.utexas.edu,6
c251-110.wrangler.tacc.utexas.edu,6
c251-111.wrangler.tacc.utexas.edu,6
c251-112.wrangler.tacc.utexas.edu,6
c251-113.wrangler.tacc.utexas.edu,5
c251-114.wrangler.tacc.utexas.edu,5
c251-115.wrangler.tacc.utexas.edu,5
c251-117.wrangler.tacc.utexas.edu,4
c251-118.wrangler.tacc.utexas.edu,6
c251-119.wrangler.tacc.utexas.edu,6
c251-120.wrangler.tacc.utexas.edu,5
c251-121.wrangler.tacc.utexas.edu,5
c251-122.wrangler.tacc.utexas.edu,2
c251-123.wrangler.tacc.utexas.edu,6
c251-124.wrangler.tacc.utexas.edu,2
c251-125.wrangler.tacc.utexas.edu,6
c251-126.wrangler.tacc.utexas.edu,5
c251-127.wrangler.tacc.utexas.edu,4
c251-128.wrangler.tacc.utexas.edu,6
c251-129.wrangler.tacc.utexas.edu,5
c251-130.wrangler.tacc.utexas.edu,5
c251-132.wrangler.tacc.utexas.edu,6
c251-133.wrangler.tacc.utexas.edu,5
c251-134.wrangler.tacc.utexas.edu,4
c251-135.wrangler.tacc.utexas.edu,4
c251-136.wrangler.tacc.utexas.edu,6
c251-137.wrangler.tacc.utexas.edu,5
c251-138.wrangler.tacc.utexas.edu,6
c252-101.wrangler.tacc.utexas.edu,6
c252-102.wrangler.tacc.utexas.edu,6
c252-103.wrangler.tacc.utexas.edu,6
c252-104.wrangler.tacc.utexas.edu,5
c252-105.wrangler.tacc.utexas.edu,4
c252-106.wrangler.tacc.utexas.edu,4
c252-107.wrangler.tacc.utexas.edu,4
c252-108.wrangler.tacc.utexas.edu,3
c252-109.wrangler.tacc.utexas.edu,3
c252-110.wrangler.tacc.utexas.edu,3
c252-111.wrangler.tacc.utexas.edu,3
c252-112.wrangler.tacc.utexas.edu,3
c252-113.wrangler.tacc.utexas.edu,3
c252-114.wrangler.tacc.utexas.edu,3
c252-115.wrangler.tacc.utexas.edu,1
c252-116.wrangler.tacc.utexas.edu,3
c252-117.wrangler.tacc.utexas.edu,3
c252-118.wrangler.tacc.utexas.edu,3
c252-119.wrangler.tacc.utexas.edu,3
c252-120.wrangler.tacc.utexas.edu,3
c252-121.wrangler.tacc.utexas.edu,3
c252-123.wrangler.tacc.utexas.edu,3
c252-124.wrangler.tacc.utexas.edu,3
c252-125.wrangler.tacc.utexas.edu,5
c252-126.wrangler.tacc.utexas.edu,4
c252-127.wrangler.tacc.utexas.edu,4
c252-128.wrangler.tacc.utexas.edu,5
c252-129.wrangler.tacc.utexas.edu,4
c252-130.wrangler.tacc.utexas.edu,4
c252-131.wrangler.tacc.utexas.edu,4
c252-132.wrangler.tacc.utexas.edu,4
c252-133.wrangler.tacc.utexas.edu,4
c252-134.wrangler.tacc.utexas.edu,4
c252-135.wrangler.tacc.utexas.edu,4
c252-136.wrangler.tacc.utexas.edu,4
c252-137.wrangler.tacc.utexas.edu,4
c252-138.wrangler.tacc.utexas.edu,4
c252-139.wrangler.tacc.utexas.edu,4
c401-001.stampede2.tacc.utexas.edu,4
c401-002.stampede2.tacc.utexas.edu,5
c401-004.stampede2.tacc.utexas.edu,4
c401-011.stampede2.tacc.utexas.edu,3
c401-013.stampede2.tacc.utexas.edu,1
c401-014.stampede2.tacc.utexas.edu,2
c401-021.stampede2.tacc.utexas.edu,4
c401-023.stampede2.tacc.utexas.edu,3
c401-031.stampede2.tacc.utexas.edu,2
c401-032.stampede2.tacc.utexas.edu,4
c401-033.stampede2.tacc.utexas.edu,2
c401-034.stampede2.tacc.utexas.edu,1
c401-041.stampede2.tacc.utexas.edu,2
c401-042.stampede2.tacc.utexas.edu,1
c401-043.stampede2.tacc.utexas.edu,4
c401-044.stampede2.tacc.utexas.edu,5
c401-052.stampede2.tacc.utexas.edu,4
c401-053.stampede2.tacc.utexas.edu,2
c401-054.stampede2.tacc.utexas.edu,1
c401-061.stampede2.tacc.utexas.edu,4
c401-062.stampede2.tacc.utexas.edu,2
c401-063.stampede2.tacc.utexas.edu,1
c401-064.stampede2.tacc.utexas.edu,4
c401-071.stampede2.tacc.utexas.edu,3
c401-072.stampede2.tacc.utexas.edu,2
c401-073.stampede2.tacc.utexas.edu,4
c401-074.stampede2.tacc.utexas.edu,2
c401-082.stampede2.tacc.utexas.edu,3
c401-083.stampede2.tacc.utexas.edu,2
c401-084.stampede2.tacc.utexas.edu,2
c401-091.stampede2.tacc.utexas.edu,3
c401-092.stampede2.tacc.utexas.edu,1
c401-093.stampede2.tacc.utexas.edu,4
c401-094.stampede2.tacc.utexas.edu,4
c401-101.stampede2.tacc.utexas.edu,3
c401-102.stampede2.tacc.utexas.edu,4
c401-104.stampede2.tacc.utexas.edu,4
c401-111.stampede2.tacc.utexas.edu,3
c401-112.stampede2.tacc.utexas.edu,4
c401-113.stampede2.tacc.utexas.edu,1
c401-114.stampede2.tacc.utexas.edu,2
c401-121.stampede2.tacc.utexas.edu,2
c401-122.stampede2.tacc.utexas.edu,3
c401-123.stampede2.tacc.utexas.edu,4
c401-124.stampede2.tacc.utexas.edu,4
c401-131.stampede2.tacc.utexas.edu,2
c401-132.stampede2.tacc.utexas.edu,1
c401-133.stampede2.tacc.utexas.edu,3
c401-134.stampede2.tacc.utexas.edu,2
c402-002.stampede2.tacc.utexas.edu,3
c402-003.stampede2.tacc.utexas.edu,2
c402-004.stampede2.tacc.utexas.edu,6
c402-011.stampede2.tacc.utexas.edu,1
c402-013.stampede2.tacc.utexas.edu,1
c402-014.stampede2.tacc.utexas.edu,2
c402-022.stampede2.tacc.utexas.edu,1
c402-023.stampede2.tacc.utexas.edu,2
c402-024.stampede2.tacc.utexas.edu,2
c402-031.stampede2.tacc.utexas.edu,3
